ID;Geslacht;LeeftijdOp31December;Marges;Perioden;Levensverwachting_1;LVInAlsGoedErvarenGezondheid_2;LVZonderMatigeEnErnstigeBeperking_3;LVZonderErnstigeBeperkingen_4;LVZonderLichteMatigeErnstigeBep_5;LVZonderChronischeZiektes_6;LVZonderChrZiekExclHogeBloeddruk_7;LVZonderPsychischeKlachtenMHI5_8;LVZonderGALIBeperkingen_9;LVZonderErnstigeGALIBeperkingen_10
2383;3000;15000;MW00000;1986JJ00;   26.22;    17.1;    19.2;       .;       .;    13.6;       .;       .;       .;       .
2384;3000;15000;MW00000;1987JJ00;   26.59;    17.4;    19.5;       .;       .;    13.6;       .;       .;       .;       .
2385;3000;15000;MW00000;1988JJ00;   26.70;    17.5;    19.9;       .;       .;    13.3;       .;       .;       .;       .
2386;3000;15000;MW00000;1989JJ00;   26.62;    17.1;    20.3;       .;       .;    13.1;       .;       .;       .;       .
2387;3000;15000;MW00000;1990JJ00;   26.88;    17.5;    19.8;       .;       .;    13.2;       .;       .;       .;       .
2388;3000;15000;MW00000;1991JJ00;   27.02;    16.6;    20.4;       .;       .;    13.0;       .;       .;       .;       .
2389;3000;15000;MW00000;1992JJ00;   27.24;    16.9;    20.2;       .;       .;    12.6;       .;       .;       .;       .
2390;3000;15000;MW00000;1993JJ00;   26.93;    17.1;    19.9;       .;       .;    12.7;       .;       .;       .;       .
2391;3000;15000;MW00000;1994JJ00;   27.41;    17.8;    20.1;       .;       .;    12.5;       .;       .;       .;       .
2392;3000;15000;MW00000;1995JJ00;   27.42;    17.5;    20.0;       .;       .;    12.2;       .;       .;       .;       .
2393;3000;15000;MW00000;1996JJ00;   27.47;    18.2;    21.5;       .;       .;    11.8;       .;       .;       .;       .
2394;3000;15000;MW00000;1997JJ00;   27.83;    17.9;    22.1;       .;       .;    11.8;       .;       .;       .;       .
2395;3000;15000;MW00000;1998JJ00;   27.88;    18.3;    22.2;       .;       .;    12.5;       .;       .;       .;       .
2396;3000;15000;MW00000;1999JJ00;   28.01;    17.9;    22.4;       .;       .;    11.6;       .;       .;       .;       .
2397;3000;15000;MW00000;2000JJ00;   28.19;    18.4;    22.2;       .;       .;    11.3;       .;       .;       .;       .
2398;3000;15000;MW00000;2001JJ00;   28.46;    18.5;    22.2;    24.7;    13.2;    11.1;    12.9;    24.8;       .;       .
2399;3000;15000;MW00000;2002JJ00;   28.58;    18.5;    22.2;    24.9;    12.4;    10.5;    12.9;    26.0;       .;       .
2400;3000;15000;MW00000;2003JJ00;   28.78;    18.8;    22.6;    25.1;    13.1;    11.5;    13.6;    25.8;       .;       .
2401;3000;15000;MW00000;2004JJ00;   29.27;    18.8;    22.4;    25.3;    12.8;    10.8;    12.5;    26.4;       .;       .
2402;3000;15000;MW00000;2005JJ00;   29.54;    19.4;    23.5;    26.2;    12.7;    10.2;    12.3;    27.1;       .;       .
2403;3000;15000;MW00000;2006JJ00;   29.90;    19.8;    23.2;    26.0;    12.9;    10.3;    12.3;    27.1;       .;       .
2404;3000;15000;MW00000;2007JJ00;   30.22;    20.7;    24.0;    26.6;    12.8;    10.4;    12.8;    27.2;       .;       .
2405;3000;15000;MW00000;2008JJ00;   30.48;    19.9;    23.9;    27.3;    13.4;    10.1;    13.0;    27.9;       .;       .
2406;3000;15000;MW00000;2009JJ00;   30.66;    21.5;    24.2;    27.2;    13.8;    10.0;    12.9;    28.0;       .;       .
2407;3000;15000;MW00000;2010JJ00;   30.85;    20.7;    23.8;    26.9;    12.5;    10.6;    13.1;    27.9;       .;       .
2408;3000;15000;MW00000;2011JJ00;   31.27;    20.4;    24.8;    27.8;    12.7;     9.4;    12.0;    28.4;       .;       .
2409;3000;15000;MW00000;2012JJ00;   31.23;    20.7;    25.3;    28.0;    13.7;    10.7;    12.8;    28.5;       .;       .
2410;3000;15000;MW00000;2013JJ00;   31.41;    20.8;    24.7;    27.7;    13.0;    10.5;    13.0;    28.3;       .;       .
2411;3000;15000;MW00000;2014JJ00;   31.89;    21.2;    25.2;    27.3;    16.1;     9.7;    12.4;    29.0;    18.4;    28.2
2412;3000;15000;MW00000;2015JJ00;   31.70;    21.2;    25.4;    28.0;    16.0;     9.3;    11.9;    29.1;    18.8;    28.1
2413;3000;15000;MW00000;2016JJ00;   31.84;    21.6;    25.8;    28.3;    15.7;    10.1;    12.5;    29.3;    18.9;    28.2
2414;3000;15000;MW00000;2017JJ00;   32.10;    21.5;    26.4;    28.5;    16.8;     9.7;    12.4;    29.6;    18.7;    29.1
2415;3000;15000;MW00000;2018JJ00;   32.15;    21.1;    26.1;    28.5;    15.9;     9.7;    12.4;    28.7;    19.0;    29.1
2416;3000;15000;MW00000;2019JJ00;   32.44;    21.9;    26.6;    29.3;    15.7;     9.4;    12.0;    29.4;    18.0;    29.6
2417;3000;15000;MW00000;2020JJ00;   31.68;    22.6;    26.0;    28.3;    15.3;     9.0;    11.7;    28.7;    18.6;    28.9
2418;3000;15000;MW00000;2021JJ00;   31.67;    22.5;    26.3;    28.5;    15.4;    10.3;    12.6;    28.3;    18.1;    29.4
2419;3000;15000;B000150;1981JJ00;       .;     0.4;       .;       .;       .;     0.3;       .;       .;       .;       .
2420;3000;15000;B000150;1982JJ00;       .;     0.4;       .;       .;       .;     0.4;       .;       .;       .;       .
2421;3000;15000;B000150;1983JJ00;       .;     0.5;     0.3;       .;       .;     0.5;       .;       .;       .;       .
2422;3000;15000;B000150;1984JJ00;       .;     0.4;     0.4;       .;       .;     0.4;       .;       .;       .;       .
2423;3000;15000;B000150;1985JJ00;       .;     0.4;     0.3;       .;       .;     0.4;       .;       .;       .;       .
2424;3000;15000;B000150;1986JJ00;       .;     0.5;     0.3;       .;       .;     0.5;       .;       .;       .;       .
2425;3000;15000;B000150;1987JJ00;       .;     0.4;     0.4;       .;       .;     0.4;       .;       .;       .;       .
2426;3000;15000;B000150;1988JJ00;       .;     0.4;     0.4;       .;       .;     0.4;       .;       .;       .;       .
2427;3000;15000;B000150;1989JJ00;       .;     0.4;     0.3;       .;       .;     0.4;       .;       .;       .;       .
2428;3000;15000;B000150;1990JJ00;       .;     0.4;     0.4;       .;       .;     0.4;       .;       .;       .;       .
2429;3000;15000;B000150;1991JJ00;       .;     0.4;     0.4;       .;       .;     0.4;       .;       .;       .;       .
2430;3000;15000;B000150;1992JJ00;       .;     0.4;     0.4;       .;       .;     0.4;       .;       .;       .;       .
2431;3000;15000;B000150;1993JJ00;       .;     0.4;     0.4;       .;       .;     0.4;       .;       .;       .;       .
2432;3000;15000;B000150;1994JJ00;       .;     0.4;     0.4;       .;       .;     0.4;       .;       .;       .;       .
2433;3000;15000;B000150;1995JJ00;       .;     0.4;     0.3;       .;       .;     0.4;       .;       .;       .;       .
2434;3000;15000;B000150;1996JJ00;       .;     0.4;     0.3;       .;       .;     0.4;       .;       .;       .;       .
