ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
240;1100;10000;1999W124;2583
241;1100;10000;1999W125;2462
242;1100;10000;1999W126;2630
243;1100;10000;1999W127;2485
244;1100;10000;1999W128;2611
245;1100;10000;1999W129;2548
246;1100;10000;1999W130;2486
247;1100;10000;1999W131;2753
248;1100;10000;1999W132;2452
249;1100;10000;1999W133;2450
250;1100;10000;1999W134;2571
251;1100;10000;1999W135;2459
252;1100;10000;1999W136;2501
253;1100;10000;1999W137;2527
254;1100;10000;1999W138;2497
255;1100;10000;1999W139;2458
256;1100;10000;1999W140;2335
257;1100;10000;1999W141;2403
258;1100;10000;1999W142;2631
259;1100;10000;1999W143;2663
260;1100;10000;1999W144;2565
261;1100;10000;1999W145;2583
262;1100;10000;1999W146;2571
263;1100;10000;1999W147;2631
264;1100;10000;1999W148;2618
265;1100;10000;1999W149;2791
266;1100;10000;1999W150;2885
267;1100;10000;1999W151;2974
268;1100;10000;1999W152;2306
271;1100;10000;2000W101;3564
272;1100;10000;2000W102;3438
273;1100;10000;2000W103;3307
274;1100;10000;2000W104;3203
275;1100;10000;2000W105;2967
276;1100;10000;2000W106;2835
277;1100;10000;2000W107;2773
278;1100;10000;2000W108;2869
279;1100;10000;2000W109;2673
280;1100;10000;2000W110;2690
281;1100;10000;2000W111;2673
282;1100;10000;2000W112;2533
283;1100;10000;2000W113;2554
284;1100;10000;2000W114;2690
285;1100;10000;2000W115;2687
286;1100;10000;2000W116;2705
287;1100;10000;2000W117;2647
288;1100;10000;2000W118;2554
289;1100;10000;2000W119;2744
290;1100;10000;2000W120;2698
291;1100;10000;2000W121;2455
292;1100;10000;2000W122;2513
293;1100;10000;2000W123;2484
294;1100;10000;2000W124;2452
295;1100;10000;2000W125;2969
296;1100;10000;2000W126;2632
297;1100;10000;2000W127;2572
298;1100;10000;2000W128;2469
299;1100;10000;2000W129;2456
300;1100;10000;2000W130;2505
301;1100;10000;2000W131;2532
302;1100;10000;2000W132;2488
303;1100;10000;2000W133;2539
304;1100;10000;2000W134;2416
305;1100;10000;2000W135;2391
306;1100;10000;2000W136;2506
307;1100;10000;2000W137;2517
308;1100;10000;2000W138;2501
309;1100;10000;2000W139;2479
310;1100;10000;2000W140;2578
311;1100;10000;2000W141;2539
312;1100;10000;2000W142;2571
313;1100;10000;2000W143;2734
314;1100;10000;2000W144;2652
315;1100;10000;2000W145;2572
316;1100;10000;2000W146;2644
317;1100;10000;2000W147;2689
318;1100;10000;2000W148;2773
319;1100;10000;2000W149;2618
320;1100;10000;2000W150;2737
321;1100;10000;2000W151;2855
322;1100;10000;2000W152;2929
324;1100;10000;2001W101;3051
325;1100;10000;2001W102;2852
326;1100;10000;2001W103;2907
327;1100;10000;2001W104;3031
328;1100;10000;2001W105;2928
329;1100;10000;2001W106;2861
330;1100;10000;2001W107;2761
331;1100;10000;2001W108;2685
332;1100;10000;2001W109;2749
333;1100;10000;2001W110;2896
334;1100;10000;2001W111;2812
335;1100;10000;2001W112;2837
336;1100;10000;2001W113;2774
337;1100;10000;2001W114;2794
338;1100;10000;2001W115;2752
339;1100;10000;2001W116;2590
340;1100;10000;2001W117;2712
341;1100;10000;2001W118;2685
342;1100;10000;2001W119;2739
343;1100;10000;2001W120;2759
344;1100;10000;2001W121;2674
345;1100;10000;2001W122;2722
346;1100;10000;2001W123;2581
347;1100;10000;2001W124;2721
348;1100;10000;2001W125;2585
349;1100;10000;2001W126;2683
350;1100;10000;2001W127;2751
351;1100;10000;2001W128;2475
352;1100;10000;2001W129;2405
353;1100;10000;2001W130;2519
354;1100;10000;2001W131;2438
355;1100;10000;2001W132;2450
356;1100;10000;2001W133;2511
357;1100;10000;2001W134;2648
358;1100;10000;2001W135;2441
359;1100;10000;2001W136;2482
